review_text,rating,sentiment,reviewer_name,date,hotel_name,original_text,original_length,original_word_count,cleaned_text,cleaned_length,cleaned_word_count,length_reduction,word_reduction,review_length,word_count,avg_word_length,sentence_count,exclamation_count,question_count,uppercase_count,uppercase_ratio,cluster,cluster_name
The room was nice but the noise from the street was unbearable.,4,positive,Jennifer L.,2020-07-09,Royal Gardens Hotel,The room was nice but the noise from the street was unbearable.,63,12,room nice nois street unbear,28,5,35,7,63,12,4.846153846153846,2,0,0,1,0.015625,3,Service & Staff Quality
" Overall, perfect getaway! the hotel exceeded all expectations. will recommend to friends.",4,positive,Laura B.,2022-06-07,City Center Suites," Overall, perfect getaway! the hotel exceeded all expectations. will recommend to friends.",90,12,overal perfect getaway hotel exceed expect recommend friend,59,8,31,4,90,12,6.923076923076923,4,1,0,1,0.01098901098901099,0,"Topic: getaway, exceed, expect"
The room was clean but small. The location was convenient.,3,neutral,Kevin J.,2023-08-15,Ocean Breeze Resort,The room was clean but small. The location was convenient.,58,10,room clean small locat conveni,30,5,28,5,58,10,5.2727272727272725,3,0,0,2,0.03389830508474576,1,Cleanliness & Room Quality
"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",5,positive,James W.,2020-02-12,Luxury Stay Hotel,"The room was spotless, the bed was comfortable, and the staff was incredibly helpful.",85,14,room spotless bed comfort staff incred help,43,7,42,7,85,14,5.666666666666667,2,0,0,1,0.011627906976744186,4,Room & Comfort
" Considering everything, the room was clean but small. the location was convenient.",3,neutral,Kevin J.,2020-07-08,Mountain View Inn," Considering everything, the room was clean but small. the location was convenient.",83,12,consid everyth room clean small locat conveni,45,7,38,5,83,12,6.384615384615385,3,0,0,1,0.011904761904761904,1,Cleanliness & Room Quality
The hotel was fine for the price. Some areas need updating.,3,neutral,Robert H.,2022-01-12,Budget Inn Express,The hotel was fine for the price. Some areas need updating.,59,11,hotel fine price area need updat,32,6,27,5,59,11,4.916666666666667,3,0,0,2,0.03333333333333333,3,Service & Staff Quality
"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back.",4,positive,Megan R.,2023-10-05,Budget Inn Express,"Excellent stay! The room was clean, comfortable, and well-equipped. Will definitely come back.",94,13,excel stay room clean comfort well equip definit come back,58,10,36,3,94,13,6.714285714285714,4,1,0,3,0.031578947368421054,1,Cleanliness & Room Quality
" Considering everything, the hotel was not as advertised. misleading photos and rude staff.",2,negative,Rachel G.,2020-06-26,Royal Gardens Hotel," Considering everything, the hotel was not as advertised. misleading photos and rude staff.",91,13,consid everyth hotel advertis mislead photo rude staff,54,8,37,5,91,13,6.5,3,0,0,1,0.010869565217391304,3,Service & Staff Quality
Excellent hotel with great amenities. The spa treatment was wonderful.,4,positive,Robert H.,2022-12-09,Park View Hotel,Excellent hotel with great amenities. The spa treatment was wonderful.,70,10,excel hotel great amen spa treatment wonder,43,7,27,3,70,10,6.363636363636363,3,0,0,2,0.028169014084507043,3,Service & Staff Quality
Average experience. The service was fine but nothing special.,3,neutral,Brian M.,2024-02-16,City Center Suites,Average experience. The service was fine but nothing special.,61,9,averag experi servic fine noth special,38,6,23,3,61,9,6.1,3,0,0,2,0.03225806451612903,3,Service & Staff Quality
